"customername","email","phone","birthday","serialnumber","registrationdate","lastupdatedate","sharewithresearchasofdate","sharewithpublicasofdate","sharewithfriendsasofdate"
"Frank Hansen","Frank.Hansen@test.com","8015551212","1323-01-01","454a7430-d4ff-47cf-8666-7428f8a9894d","1655564131452","1655564131452",,,"1655564131452"
"David Jones","David.Jones@test.com","8015551212","1111-01-01","fe784255-4faf-47ab-96f7-ea79c6e87f0c","1655564435763","1655564435763",,,
"Edward Clayton","Edward.Clayton@test.com","8015551212","1754-01-01","3d798cef-bc66-4128-85af-2c9d36c251b9","1655564387419","1655564387419",,"1655564387419","1655564387419"
"Edward Staples","Edward.Staples@test.com","8015551212","1631-01-01","9f14e906-5e19-4a70-9016-6e58f146d3f0","1655564397161","1655564397161",,,"1655564397161"
"Jacob Habschied","Jacob.Habschied@test.com","8015551212","1934-01-01","276e1713-8675-495b-a4b3-c5015f0ca3a2","1655564087815","1655564087815",,,"1655564087815"
"Santosh Olson","Santosh.Olson@test.com","8015551212","1265-01-01","fd4624c7-e15e-48be-bcf7-6ab67028a72c","1655564424393","1655564424393",,,"1655564424393"
"Neeraj Anandh","Neeraj.Anandh@test.com","8015551212","1478-01-01","17a34b4a-3018-416d-801c-cafd3bbe4b49","1655564408518","1655564408518",,"1655564408518",
"David Howard","David.Howard@test.com","8015551212","1456-01-01","d0234d78-d6df-4a1a-ace9-0e1c5773b7c7","1655564410194","1655564410194",,,"1655564410194"
"Chris Staples","Chris.Staples@test.com","8015551212","1177-01-01","ae3e8fdb-70f2-41c1-9573-1a0ee31a1d7d","1655564141755","1655564141755",,,
"Danny Wu","Danny.Wu@test.com","8015551212","1143-01-01","59b4d78f-2d3f-43a6-868c-dc4697b0b7ff","1655562450053","1655562512396",,"1655562512396",
"Edward Doshi","Edward.Doshi@test.com","8015551212","1220-01-01","3c5a4fff-3756-4907-9b4d-dfc03a7e1c31","1655564138704","1655564138704",,"1655564138704",
"Christina Fibonnaci","Christina.Fibonnaci@test.com","8015551212","1235-01-01","cb2491d1-5578-410f-aa2d-b12f487ce65b","1655564426618","1655564426618",,,
"Trevor Clayton","Trevor.Clayton@test.com","8015551212","1673-01-01","40c2f5c9-1aa1-4139-9dc8-8f91a6d40d48","1655564393958","1655564393958",,"1655564393958","1655564393958"
"Jacob Hansen","Jacob.Hansen@test.com","8015551212","1055-01-01","c9f5e618-cd06-4d2b-9b87-2a89d2423140","1655564439832","1655564439832",,,"1655564439832"
"Trevor Staples","Trevor.Staples@test.com","8015551212","1292-01-01","9eb25741-9545-439f-a8af-4913ce72e8de","1655564422424","1655564422424",,,"1655564422424"
"Ashley Howard","Ashley.Howard@test.com","8015551212","1248-01-01","e09e0931-bc4e-416a-aeaf-8f2d8192367b","1655563972162","1655563972162",,,"1655563972162"
"Frank Spencer","Frank.Spencer@test.com","8015551212","1330-01-01","afd287c5-1682-4ad2-8d73-7b8323275120","1655564419506","1655564419506",,"1655564419506",
"Frank Wu","Frank.Wu@test.com","8015551212","1519-01-01","d5f72e3a-6f9f-470a-b4e4-968078762e7a","1655564117544","1655564117544",,"1655564117544","1655564117544"
